language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
german,akzeptiren,accept,assessment,typically veridical,neither,typically redundant,neither,0,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,1,0,,,,,
german,abstreiten,deny,assessment,typically anti-veridical,neither,neither,typically projective,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,0,,,,,
german,hoffen,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
german,beten,pray,bouletic,neither,neither,neither,neither,0,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
german,bevorzugen,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
german,wollen,want ,bouletic,neither,neither,neither,neither,1,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,1,,,,,
german,sich sorgen,be worried,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,,,,,
german,fürchten,fear,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,,,,,
german,verkünden,announce,communication,veridical,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,0,1,1
german,darlegen,argue,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,0,1
german,sagen,say,communication,veridical,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,0,1,1
german,behaupten,claim,communication,neither,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,,,,,
german,sich beschweren,complain,communication,typically veridical,neither,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,,,,,
german,erklären (explain),explain,communication,veridical,contradictory,redundant,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,0,0,0
german,jemandem etwas mitteilen,inform sb. about sth.,communication,typically veridical,contradictory,redundant,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,0,belief,0,0,1,1
german,erzählen,tell ,communication,typically veridical,neither,typically redundant,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
german,schreiben,write,communication: manner of saying,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,,,
german,entscheiden,decide,decision,neither,neither,neither,neither,0,typically,compatible,compatible,compatible,incompatible,compatible,typically,compatible,compatible,1,0,neither,0,1,1,1
german,verlangen,demand,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,1,0,,,,,
german,anordnen,order,directive,neither,contradictory,redundant,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,1,0,typically belief,0,0,0,1
