language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Greek,aghnoo,be unaware,doxastic,veridical,contradictory,redundant,projective,0,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,1,1,typically ignorance,1,1,1,1
Greek,amfivalo,doubt,dubitative,neither,neither,neither,neither,0,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,1,1,neither,1,0,0,1
Greek,anakinono,announce,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,1,0,typically belief,0,0,1,1
Greek,anarotieme,wonder,inquisitive,,,,,,,,,,,,,,,,,ignorance,1,,,
Greek,anisiho,be worried,bouletic: negative,neither,neither,neither,neither,0,always,incompatible,incompatible,compatible,incompatible,typically,incompatible,always,incompatible,1,1,typically ignorance,1,0,0,1
Greek,apeto,demand,directive,neither,neither,neither,neither,0,compatible,compatible,typically,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
Greek,apodhiknio,prove,ratification,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,apofasizo,decide,decision,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,1,0,typically belief,0,0,1,1
Greek,arnume,deny,assessment,neither,neither,neither,neither,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,0,,,,,
Greek,vlepo,see,perception,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,me njazi,care,predicates of relevance,typically veridical,neither,neither,typically projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,incompatible,1,1,neither,1,0,0,1
Greek,ghnorizo,know,doxastic,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,0,belief,0,1,1,1
Greek,ghrafo,write,communication: manner of saying,neither,neither,neither,neither,0,compatible,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,dhehome,accept,assessment,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,,,,,
Greek,dhilono,assert,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Greek,djatazo,order,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
Greek,ime sighuros,be certain,doxastic,neither,neither,neither,neither,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,0,1,belief,1,0,1,1
Greek,ekplisome,be surprised,emotive factive,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,1,belief,1,1,1,1
Greek,elpizo,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
Greek,enimerono,inform,communication,neither,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
Greek,exigho,explain,communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
Greek,erevno,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance,0,,,
