language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
italian,accettare,accept,assessment,typically veridical,neither,redundant,typically projective,0,typically,incompatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,1,undecided,,,,,
italian,negare,deny,assessment,neither,neither,neither,neither,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,1,,,,,
italian,sperare,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
italian,pregare,pray,bouletic,neither,neither,neither,neither,0,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,undecided,,,,,
italian,preferire,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
italian,volere,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,undecided,,,,,
italian,essere preoccupat* / preoccuparsi ,be worried,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,neither,1,0,1,1
italian,temere,fear,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,,,,,
italian,annunciare,announce,communication,typically veridical,neither,redundant,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,belief,0,0,1,1
italian,affermare,assert,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,,,,,
italian,sostenere,claim,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,undecided,,,,,
italian,lamentarsi,complain***  [neg],communication,veridical,contradictory,redundant,projective,0,typically,incompatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,1,1,belief,1,1,1,1
italian,spiegare,explain,communication,typically veridical,neither,redundant,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,undecided,belief,undecided,0,1,1
italian,comunicare/informare,inform,communication,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,belief,0,0,1,1
italian,raccontare,tell ,communication,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,belief,1,0,1,1
italian,sussurrare ,whisper,communication: manner of saying,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,belief,0,0,1,1
italian,scrivere,write,communication: manner of saying,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,belief,0,0,1,1
italian,decidere,decide,decision,neither,neither,neither,neither,0,typically,compatible,compatible,typically,incompatible,compatible,typically,compatible,compatible,1,0,belief,0,0,1,1
italian,esigere,demand,directive,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,1,,,,,
