language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Kîîtharaka,îtîgîra,accept,assessment,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,1,typically belief,1,0,1,1
Kîîtharaka,kaana,deny,assessment,typically veridical,neither,neither,typically projective,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,1,1,typically belief,1,0,1,1
Kîîtharaka,îrîgîîra,hope,bouletic,neither,neither,neither,neither,typically neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,always,incompatible,incompatible,1,1,typically belief,1,0,1,1
Kîîtharaka,romba,pray,bouletic,neither,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,1,1,typically belief,1,0,1,1
Kîîtharaka,,prefer,bouletic,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,enda,"want ",bouletic,neither,neither,neither,neither,1,compatible,compatible,typically,compatible,compatible,typically,always,incompatible,incompatible,1,1,,,,,
Kîîtharaka,maka,be worried,bouletic:negative,neither,neither,neither,typically projective,0,typically,compatible,compatible,typically,incompatible,compatible,incompatible,always,incompatible,1,1,typically belief,1,0,0,1
Kîîtharaka,kuthûka,fear,bouletic:negative,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,always,incompatible,1,1,typically belief,1,0,1,1
Kîîtharaka,tûmîîria,announce,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,1,typically belief,1,0,1,1
Kîîtharaka,,argue,communication,,,,,,,,,,,,,,,,,,,,,
Kîîtharaka,kinyîîria,assert,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,1,typically belief,1,0,1,1
Kîîtharaka,uga,claim,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
Kîîtharaka,raramîka,complain,communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,1,1,typically belief,1,0,1,1
Kîîtharaka,ereeca,explain,communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,1,typically belief,1,0,1,1
Kîîtharaka,menyithia,inform,communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
Kîîtharaka,îra,"tell ",communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
