language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Mandarin Chinese,chengren,accept,assessment,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Mandarin Chinese,fouren,deny,assessment,neither,neither,neither,typically projective,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,0,,,,,
Mandarin Chinese,xiwang,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,1,1,,,,,
Mandarin Chinese,qidao,pray,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,1,undecided,,,,,
Mandarin Chinese,gengxiang,prefer,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,compatible,compatible,always,incompatible,incompatible,1,complex-predicate,,,,,
Mandarin Chinese,xiang(yao),want ,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,1,1,,,,,
Mandarin Chinese,danxin,be worried,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,ignorance,1,0,0,1
Mandarin Chinese,pa,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,,,,,
Mandarin Chinese,xuanbu,announce,communication,neither,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
Mandarin Chinese,jiancheng,assert,communication,neither,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,undecided,,,,,
Mandarin Chinese,shengcheng,claim,communication,typically anti-veridical,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,,,,,
Mandarin Chinese,baoyuan,complain,communication,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,1,1,,,,,
