language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
Polish,akceptować,accept,assessment,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,1,0,belief,0,1,1,1
Polish,zaprzeczać,deny,assessment,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,,,,,
Polish,mieć nadzieję,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
Polish,modlić się,pray,bouletic,neither,neither,neither,neither,0,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
Polish,woleć,prefer,bouletic,neither,neither,neither,,undecided,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
Polish,chcieć,want ,bouletic,neither,neither,neither,neither,1,compatible,compatible,compatible,compatible,incompatible,typically,always,incompatible,incompatible,1,1,,,,,
Polish,martwić się,be worried,bouletic: negative,neither,neither,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,typically ignorance,1,0,0,1
Polish,bać się,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,ignorance,1,0,0,1
Polish,oznajmiać,announce,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,neither,0,0,1,1
Polish,spierać się,argue,communication,neither,neither,neither,neither,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,1,1
Polish,zapewnić,assert,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,,,,,
Polish,twierdzić,claim,communication,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,,,,,
Polish,skarżyć się,complain,communication,neither,neither,neither,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,1,,,,,
