language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
spanish,aceptar,accept,assessment,veridical,contradictory,redundant,projective,0,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,1,0,typically belief,0,1,1,1
spanish,negar,deny,assessment,typically anti-veridical,neither,neither,neither,0,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,0,,,,,
spanish,esperar,hope,bouletic,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,0,,,,,
spanish,rogar,pray,bouletic,neither,neither,neither,neither,0,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
spanish,preferir,prefer,bouletic,neither,neither,neither,neither,1,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,undecided,,,,,
spanish,querer,want ,bouletic,neither,neither,neither,neither,1,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,1,undecided,,,,,
spanish,me preocupa (que),be worried,bouletic: negative,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,compatible,incompatible,typically,incompatible,always,incompatible,1,1,neither,1,1,0,1
spanish,temer,fear,bouletic: negative,neither,neither,neither,neither,0,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,,,,,
spanish,anunciar,announce,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,1,0,belief,0,0,1,1
spanish,argumentar,argue,communication,neither,neither,neither,neither,0,always,incompatible,incompatible,typically,compatible,compatible,typically,compatible,compatible,0,0,typically belief,0,0,1,1
spanish,aseverar,assert,communication,typically veridical,neither,redundant,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,0,0,typically belief,0,0,1,1
spanish,afirmar,claim,communication,typically veridical,neither,neither,neither,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,1
spanish,quejarse (de),complain,communication,typically veridical,neither,redundant,projective,0,typically,compatible,compatible,typically,compatible,compatible,incompatible,always,incompatible,1,1,belief,1,0,0,1
spanish,explicar,explain,communication,typically veridical,neither,neither,undecided,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,belief,0,0,1,1
spanish,informar,inform,communication,typically veridical,neither,redundant,undecided,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,1,0,belief,0,0,0,0
spanish,contar,tell ,communication,typically veridical,neither,redundant,typically projective,0,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,0,belief,0,0,1,1
