language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity
turkish,kabul et,accept,assessment,typically veridical,neither,neither,typically projective,0,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,0
turkish,inkar et,deny,assessment,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,1,1,0
turkish,um,hope,bouletic,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,1,ignorance,undecided,0,0,0
turkish,,pray,,,,,,,,,,,,,,,,,,,,,,
turkish,dile,wish,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,1,1,,,,,
turkish,tercih et,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,1,0,,,,,
turkish,iste,want ,bouletic,typically anti-veridical,neither,neither,neither,1,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,1,1,,,,,
turkish,endişelen,worry ,bouletic: negative,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,incompatible,typically,incompatible,always,incompatible,1,1,neither,1,0,0,1
turkish,,be worried,,,,,,,,,,,,,,,,,,,,,,
turkish,kork,fear,bouletic: negative,neither,neither,neither,neither,0,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,1,neither,1,0,0,1
turkish,ilan et,announce,communication,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,0,typically belief,0,0,1,0
turkish,savun,argue (=defend),communication,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,typically belief,0,0,1,1
turkish,,assert,,,,,,,,,,,,,,,,,,,,,,
turkish,de,say,,neither,neither,neither,neither,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,0,neither,0,0,0,0
turkish,iddia et,claim,communication,neither,neither,neither,typically projective,0,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,1,undecided,typically belief,0,0,1,1
