language,predicate,English translation,Predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,Finite declarative with subordinate clause syntax Konjunktiv I (present subjunctive),Finite declarative with subordinate clause syntax Konjunktiv II (past subjunctive),Finite declarative with main clause syntax Konjunktiv I (present subjunctive),Non-finite declarative clause without subject,Concealed statement (CS),Plain accusative DP (without preposition),P-to-Q distributivity,Concealed question,Finite non-d-linked constituent interrogative clause indicative mood,Finite non-d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite non-d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite d-linked constituent interrogative clause indicative mood,Finite d-linked constituent interrogative clause Konjunktiv I (present subjunctive),Finite d-linked constituent interrogative clause Konjunktiv II (past subjunctive),Finite polar interrogative clause indicative mood,Finite polar interrogative clause Konjunktiv I (present subjunctive),Finite polar interrogative clause Konjunktiv II (past subjunctive),Finite alternative interrogative clause indicative mood,Finite alternative interrogative clause Konjunktiv I (present subjunctive),Finite alternative interrogative clause Konjunktiv II (past subjunctive)
german,akzeptiren,accept,assessment,typically veridical,typically contradictory,typically redundant,can be projective,non-neg-raising,typically,compatible,compatible,typically,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,1,0,1,0,0,1,1,no,,,,,,,,,,,,,
german,abstreiten,deny,assessment,typically anti-veridical,typically redundant,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,1,0,1,0,1,1,1,no,,,,,,,,,,,,,
german,hoffen,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,1,0,1,0,1,0,0,no,,,,,,,,,,,,,
german,beten,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,1,0,0,0,0,0,0,yes,,,,,,,,,,,,,
german,bevorzugen,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,1,0,0,0,1,1,1,no,,,,,,,,,,,,,
german,wollen,want ,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,,,,,,1,0,0,0,0,1,1,no,,,,,,,,,,,,,
german,sich sorgen,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,1,0,1,0,0,0,0,no,,,,,,,,,,,,,
german,fürchten,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,1,0,1,0,1,1,1,no,,,,,,,,,,,,,
german,verkünden,announce,communication,can be veridical,neither,neither,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,can be focus sensitive,non-gradable,neutral,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,1,0,1,0,0,1,0,no,1,1,0,1,1,0,1,1,0,1,1,0,1
german,darlegen,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,neutral,non-gradable,neither,typically Q-to-P distributive,always P-to-Q distributive,1,1,1,0,0,1,0,no,1,1,1,1,1,1,1,1,1,1,1,1,1
