language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,1. finite subjunctive declarative clause,2. Finite d-linked constituent interrogative clause:,3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,P-to-Q distributivity
spanish,aceptar,accept,assessment,always veridical,contradictory,redundant*,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,non-gradable,always/typically belief implying,non-gradable,always Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,??,?,*,*,?,*,compatible,?,?,*,???,compatible,no
spanish,negar,deny,assessment,typically anti-veridical,neither,neither,neither,non-neg raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,compatible,compatible,*,*,*,*,???,*,?,*,*,*,*,* (not polar),no
spanish,esperar,hope,bouletic,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spanish,rogar,pray,bouletic,neither,neither,neither,neither,non-neg raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,,,,,*,compatible,*,*,*,*,*,*,?,*,*,*,*,*,no
spanish,preferir,prefer,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,undecided,,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spanish,querer,want ,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,undecided,,,,,,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spanish,me preocupa (que),be worried,bouletic: negative,typically veridical,neither,neither,typically projective,non-neg raising,typically,compatible,compatible,compatible,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,"A. Q-to-P anti-veridical/ B. always/typically Q-to-P
 veridical",A. Q-to-P non-distributive / B. Q-to-P distributive,always P-to-Q distributive,*,compatible,?,?,???,???,compatible,*,?,?,compatible,compatible,??,compatible,no
spanish,temer,fear,bouletic: negative,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,*,compatible,*,*,*,*,??,*,compatible,*,*,*,*,compatible or ?,no
spanish,anunciar,announce,communication,typically veridical,neither,neither,*ind: typically projective/subj: neither,*non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,?,?,*,???,compatible,no
spanish,argumentar,argue,communication,neither,neither,neither*,*ind: typically projective/subj: neither,*non-neg raising,always,incompatible,incompatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,non-gradable,typically belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,?,?,??,?,compatible,compatible,??,?,compatible,no
