language,predicate,English translation,predicate class,veridicality,conjoined with negation,conjoined with complement,projection through negation,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity,P-to-Q distributivity,P-to-Q distributivity,finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,concealed q,content DP,P-to-Q distributivity
swedish,acceptera,accept,assessment,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible*,compatible*,compatible*,focus sensitive,gradable*,always belief-implying*,U,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swedish,förneka,deny,assessment,typically veridical,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,focus sensitive,gradable,,non-gradable*,,,,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swedish,hoppas,hope,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,yes,no,no,no,no,yes*,no,yes*,not having an intransitive use
swedish,be,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable*,,,,,,yes,no,no,no,no,yes*,no,yes,having an intransitive use
swedish,föredra,prefer,bouletic,typically veridical*,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable*,,,,,,yes,no,no,no,no,yes,yes,yes,not having an intransitive use
swedish,vilja,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,,,,,,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swedish,vara orolig + för,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,having an intransitive use (without preposition)
swedish,vara orolig + över,be worried,bouletic: negative / emotive factive,always veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,neutral/typically belief-implying (TAM dependent),gradable,neither/typically Q-to-P veridical (TAM dependent),Q-to-P non-distributive/typically Q-to-P distributive (TAM dependent),P-to-Q non-distributive/typically P-to-Q distributive (TAM dependent),yes,yes,yes,yes,yes,no,yes,yes,having an intransitive use (without preposition)
swedish,frukta,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,,,,,yes,no,no*,no,no,yes,yes,yes,not having an intransitive use
swedish,tillkännage,announce,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes*,not having an intransitive use
swedish,argumentera,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,no,yes,not having an intransitive use
swedish,hävda,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable,,,,,,yes,no,no,no,no,no,no,no,not having an intransitive use
swedish,påstå,claim,communication,typically anti-veridical*,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,yes,no,no,no,no,no,no,no,not having an intransitive use
swedish,klaga,complain,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,focus sensitive,gradable*,typically belief-implying,gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes*,yes,yes,having an intransitive use
swedish,förklara,explain,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no,yes*,yes,not having an intransitive use
swedish,informera,inform,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable*,typically belief-implying,non-gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,yes,yes,yes,not having an intransitive use
swedish,berätta,tell ,communication,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive*,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes*,not having an intransitive use
swedish,viska,whisper,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no,yes,yes*,having an intransitive use
swedish,skriva,write,communication: manner of saying,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no,yes,yes*,having an intransitive use
swedish,bestämma,decide,decision,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes*,yes,yes*,having an intransitive use
swedish,kräva,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,focus sensitive,gradable*,,,,,,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swedish,beordra,order,directive,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swedish,föreslå,propose,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,,,,,,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swedish,hålla med någon,agree with someone (indirect object) [stative: to be in agreement (rather than to reach agreement)],doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,gradable*,always belief-implying,gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,U
swedish,anta,assume,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,non-gradable,,,,,,yes,no,no,no,no,no,no,no,not having an intransitive use
swedish,vara säker,be certain,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable*,always belief-implying,gradable*,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swedish,vara övertygad,be convinced,doxastic,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,gradable,always belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes*,yes,yes*,not having an intransitive use
swedish,vara omedveden,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,incompatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,U*,neutral,U*,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swedish,tro,believe,doxastic,neither,neither,neither,Without preposition på: neither. With preposition på: typically projective,typically neg-raising,always,incompatible,incompatible,Without på: incompatible. With på: typically,Without på: incompatible. With på: incompatible,Without på: always. With på: compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,,,,,,yes,no,no,no,no,yes*,no,yes,not having an intransitive use
swedish,förvänta sig,expect,doxastic,neither,neither,neither,neither* (past tense: typically projective),typically neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,,,,,yes,no,no,no,no,yes,yes,yes,not having an intransitive use
swedish,veta,know,doxastic,always veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,U*,"always belief-implying* (see note about ""if any"" examples)",non-gradable,always Q-to-P veridical,typically Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,U,yes*,no,not having an intransitive use
swedish,misstänka,suspect,doxastic,neither,neither,neither,typically projective*,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,compatible,compatible,focus sensitive,gradable,,,,,,yes,no,no*,no,no,no,yes,yes,not having an intransitive use
swedish,tänka,think,doxastic,neither,neither,neither,neither* (past tense: typically projective),"""have a thought"": non-neg-raising. ""belief/opinion"": typically neg-raising","""have a thought"": typically. ""belief/opinion"": always","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": always","""have a thought"": compatible. ""belief/opinion"": incompatible","""have a thought"": compatible. ""belief/opinion"": incompatible",compatible,compatible,compatible,not focus sensitive,"""have a thought"": non-gradable. ""belief/opinion"": gradable*",,,,,,yes,no,no*,no,no,no*,no,yes*,having an intransitive use
swedish,tänka på,think about,doxastic,typically veridical,typically contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,not focus sensitive,non-gradable,always ignorance-implying,non-gradable,Q-to-P anti-veridical,Q-to-P non-distributive,P-to-Q non-distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use*
swedish,ha rätt,be right ,doxastic evaluative,always veridical,contradictory,redundant,always reversive,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically*,compatible,compatible,not focus sensitive,U* (only 3 is OK),always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no*,yes,yes,not having an intransitive use
swedish,ha fel,be wrong,doxastic evaluative,always anti-veridical,redundant,contradictory,typically projective,non-neg-raising,always,incompatible,incompatible,typically,incompatible,compatible,typically*,compatible,compatible,focus sensitive,U* (only 3 is OK),always belief-implying,non-gradable,Q-to-P anti-veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no*,yes,yes,not having an intransitive use
swedish,glömma,forget,doxastic: change of state,always veridical,contradictory,redundant,typically projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,U* (2 and 3 are OK),typically ignorance-implying,U* (2 and 3 are OK),always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes*,yes*,not having an intransitive use
swedish,lära sig,learn,doxastic: change of state,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swedish,tvivla,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,incompatible*,always*,incompatible*,incompatible,compatible,always,compatible,compatible,compatible,focus sensitive,gradable,tvivla 1: N/A. tvivla 2: always ignorance-implying*,tvivla 1: N/A. tvivla 2: gradable,tvivla 1: N/A. tvivla 2: neither,tvivla 1: N/A. tvivla 2: neither*,tvivla 1: N/A. tvivla 2: always P-to-Q distributive,yes,tvivla 1: no. tvivla 2: yes,tvivla 1: no. tvivla 2: yes,yes,tvivla 1: no. tvivla 2: yes,no,yes,yes,not having an intransitive use
swedish,vara glad,be happy,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,always,incompatible,incompatible,focus sensitive,U* (2 and 3 are OK),always belief-implying*,U* (2 and 3 are OK),typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,yes,yes,yes,having an intransitive use
swedish,vara förvånad,be surprised,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible*,incompatible,typically,compatible*,incompatible,compatible,compatible,compatible,focus sensitive,gradable*,typically belief-implying,gradable*,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,no,no,no,yes,yes,not having an intransitive use
swedish,ångra,regret,emotive factive,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,,,,,,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swedish,fråga,ask,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,no,yes,yes,yes,yes,yes*,yes*,yes*,not having an intransitive use
swedish,vara nyfiken (sense 1 & 2),be curious,inquisitive,1: N/A. 2: typically veridical*,1: N/A. 2: typically contradictory,1: N/A. 2: redundant.,1: N/A. 2: typically projective,1: N/A. 2: non-neg-raising,1: N/A. 2: always,1: N/A. 2: incompatible,1: N/A. 2: incompatible,1: N/A. 2: always,1: N/A. 2: incompatible,1: N/A. 2: incompatible,1: N/A. 2: typically,1: N/A. 2: compatible,1: N/A. 2: incompatible,1: N/A. 2: focus sensitive,1: N/A. 2: gradable,1 & 2: always ignorance-implying.,1 & 2: gradable,1: N/A. 2: Q-to-P anti-veridical,1: N/A. 2: Q-to-p non-distributive.,1: N/A. 2: P-to-Q non-distributive,1: no. 2: yes.,1 & 2: yes,1 & 2: yes,1 & 2: yes,1 & 2: yes,1: yes. 2: no.,1 & 2: yes,1 & 2: yes,1 & 2: having an intransitive use
swedish,höra sig för,inquire,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,no,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swedish,undersöka,investigate,inquisitive,,,,,,,,,,,,,,,,,typically ignorance-implying,non-gradable,,,,no,yes,yes,yes,yes,no,yes*,yes,not having an intransitive use
swedish,undra,wonder,inquisitive,,,,,,,,,,,,,,,,,always ignorance-implying,gradable,,,,no,yes,yes,yes,yes,no,no,no,not having an intransitive use
swedish,undra över,"wonder at, be surprised",inquisitive (Q) / emotive factive (D),typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,incompatible,typically,compatible,compatible,compatible*,compatible*,compatible*,focus sensitive,gradable,always ignorance-implying,gradable,N/A*,N/A*,N/A*,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swedish,se,see,perception,always veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes,not having an intransitive use
swedish,bry sig,care,predicates of relevance,,,,typically projective,N/A (or non-neg-raising),,,,,,,,,,U/focus sensitive*,gradable,,gradable,,,,yes*,yes*,yes*,yes*,yes*,yes*,yes*,yes*,not having an intransitive use
swedish,bevisa,prove,ratification,always veridical,contradictory,redundant,neither,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes*,yes*,no*,no,yes,not having an intransitive use
