predicate orthography,predicate transcription,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
לקבל,lekabél,accept,assessment,typically veridical,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,neutral between belief and ignorance,gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not having an intransitive use
להכחיש,lehakxíʃ ,deny,assessment,neither,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,having an intransitive use
לקוות,lekavót,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,having an intransitive use
להתפלל,lehitpalél,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,typically,compatible,compatible,focus sensitive,gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
להעדיף,lehaadíf,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,typically Q-to-P distributive,always P-to-Q distributive,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,incompatible,compatible,incompatible,not having an intransitive use
לרצות,lirʦót,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
לדאוג,lidʔóg,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,compatible,typically,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible (with preposition),having an intransitive use
לחשוש,laxʃóʃ,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,incompatible,incompatible,always,compatible,typically,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,incompatible,incompatible,incompatible,compatible (with preposition),having an intransitive use
להכריז,lehaxríz,announce,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,always Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,having an intransitive use
לטעון,same as assert,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,comptible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,NA,NA,NA,NA,NA,compatible,incompatible,incompatible,incompatible,incompatible,depends,incompatible,incompatible,incompatible,incompatible,incompatible,not having an intransitive use
