language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,gradability ex,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
Hindi,hin001,maan-a,accept,assessment,neither,neither,neither,nether,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,undecided,,typically belief-implying,undecided,always Q-toP veridcial,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,No
Hindi,hin001,inkaar,deny,assessment,neither,neither,neither,neither,non-neg-raising,incompatible,always,incompatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,undecided,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,ummeed,hope,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,prarthna,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,focus sensitive,non-gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,N/A,prefer,bouletic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hindi,hin001,chah-,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,
Hindi,hin001,chintit,be worried,bouletic: negative,neither,neither,neither,always projective,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,(??) always ignorance-implying/always belief implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,dar,fear,bouletic: negative,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,,N/A,N/A,N/A,N/A,N/A,compatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,incompatible,compatible,No
Hindi,hin001,ghoshna,announce,communication,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,,neutral between belief and ignorance,non-gradable,always Q-toP veridcial,always Q-to-P distributive,P-to-Q non-distributive,compatible,compatible,compatible,compatible,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,
Hindi,hin001,N/A,argue,communication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
