language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,Finite declarative clause,Finite d-linked constituent interrogative clause,Finite non-d-linked constituent interrogative clause,Finite polar interrogative clause,Finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,Finite polar interrogative clause with main clause syntax,Non-finite declarative clause without subject,Non-finite d-linked constituent interrogative clause without subject,Non-finite non-d-linked constituent interrogative clause without subject,"
Non-finite polar interrogative without subject",Non-finite alternative interrogative clause without subject,Concealed question,Intransitive use
English,eng001,Accept,accept,assessment,typically veridical,contradictory,redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Deny,deny,assessment,typically anti-veridical,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically belief-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
English,eng001,Hope,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,incompatible,typically,always,incompatible,incompatible,focus sensitive,gradable,typically ignorance-implying,non-gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(for),*(for),unacceptable,unacceptable,unacceptable,unacceptable,acceptable,*(for),*(for),unacceptable,unacceptable,unacceptable,unacceptable
English,eng001,Pray,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,gradable,typically ignorance-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,*(about),*(about),*(about),*(about),unacceptable,unacceptable,acceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Prefer,prefer,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
English,eng001,Want,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
English,eng001,Be worried,be worried,bouletic: negative,neither,neither,neither,typically projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,incompatible,always,incompatible,focus sensitive,gradable,typically ignorance-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,*(about),unacceptable,unacceptable,unacceptable,*(about),*(about),*(about),*(about),*(about),acceptable
English,eng001,Fear,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,incompatible,compatible,compatible,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,typically ignorance-implying,gradable,neither,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,??,unacceptable,acceptable,unacceptable
English,eng001,Announce,announce,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable
English,eng001,Argue,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,gradable,typically belief-implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
