language,consultantID,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the complement,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declerative clause: indicative,finite declerative clause: subjunctive,Finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,concealed q,intransitive use
French,fra001,accepter,accept,assessment,typically veridical,neither,neither,neither,always neg-raising,typically,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,??,acceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable,de required,unacceptable,unacceptable,acceptable,unacceptable
French,fra001,nier,deny,assessment,neither,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable
French,fra001,espérer,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,undecided
French,fra001,prier,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,pour required,unacceptable,unacceptable,unacceptable,acceptable
French,fra001,préférer,prefer,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,vouloir,want ,bouletic,neither,neither,neither,neither,always neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,fra001,être inquiet(e),be worried,bouletic: negative,typically veridical,neither,neither,always projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,typically,compatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,de required,de required,de savoir required,de savoir required,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,de required,acceptable
French,fra001,craindre,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,unacceptable
French,fra001,annoncer,announce,communication,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,always belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,acceptable,acceptable,polarity sensitive,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
French,fra001,soutenir,argue,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,not focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,?,unacceptable,unacceptable,unacceptable,unacceptable
French,fra001,affirmer,assert,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
