language,consultantID,predicate othorgraphy,predicate transliteration,English translation,predicate class,veridicality wrt decl,conjoined with negation of complement,conjoined with complement,projection through negation ,neg-raising,likelihood,unlikelihood,equal likelihood,certainty,counter-certainty,uncertainty,preference,opposition,indifference,focus sensitivity wrt declaratives,gradability wrt declaratives,belief/ignorance wrt interrogatives,gradability wrt interrogatives,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,FINITE DECLARATIVE: oti/pos + indicative,FINITE DECLARATIVE: na + subjunctive pres,FINITE DECLARATIVE: na + subjunctive past,FINITE DECLARATIVE: pu + indicative,mipos clauses: indicative,mipos clauses: subjunctive pres,mipos clauses: subjunctive past,d-linked constituent interrogative clause: indicative,d-linked constituent interrogative clause: subjunctive pres,d-linked constituent interrogative clause: subjunctive past,non-d-linked constituent interrogative clause: indicative,non-d-linked constituent interrogative clause: subjunctive pres,non-d-linked constituent interrogative clause: subjunctive past,polar interrogative clause,alternative interrogative clause,non-d-linked constituent interrogative clause with main clause syntax,polar interrogative clause with main clause syntax,concealed questions,intransitive use
Greek,ell001,αγνοώ,aghnoo,be unaware,doxastic,always veridical,contradictory,redundant,always projective,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,gradable,typically ignorance implying,gradable,always Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,undecided,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,ell001,αμφιβάλλω,amfivalo,doubt,dubitative,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,incompatible,typically,compatible,compatible,compatible,compatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,undecided,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable
Greek,ell001,ανακοινώνω,anakinono,announce,communication,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,unacceptable
Greek,ell001,αναρωτιέμαι,anarotieme,wonder,inquisitive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,always ignorance-implying,gradable,N/A,N/A,N/A,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,acceptable
Greek,ell001,ανησυχώ,anisiho,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,always,incompatible,incompatible,compatible,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,typically ignorance implying,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,undecided,acceptable,acceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
Greek,ell001,απαιτώ,apeto,demand,directive,neither,neither,neither,neither,non-neg-raising,compatible,compatible,typically,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,αποδεικνύω,apodhiknio,prove,ratification,typically veridical,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
Greek,ell001,αποφασίζω,apofasizo,decide,decision,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,?typically,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable,unacceptable,acceptable,acceptable
Greek,ell001,αρνούμαι,arnume,deny,assessment,neither,neither,neither,neither,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,acceptable,acceptable?,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,undecided,unacceptable
Greek,ell001,βλέπω,vlepo,see,perception,typically veridical,neither,neither,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,compatible,compatible,compatible,non-focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,acceptable,acceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,acceptable,undecided,unacceptable,acceptable,acceptable,unacceptable,acceptable,acceptable,acceptable
