language,consultantID,orthography,transliteration,English translation,predicate class,veridicality wrt decl,conjoined with negation of complement,conjoined with the complement,projection through negation: bu,projection through negation: mei,neg-raising: bu,neg-raising: mei,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity wrt decl,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,veridical Q-to-P,distributivity Q-to-P,distributivity P-to-Q,decl. clause without subj,decl. clause with subj,d-linked constituent interrogative without subj,d-linked constituent interrogative with subj,non-d-linked constituent interrogative without subj,non-d-linked constituent interrogative with subj,polar int without subj,polar int with subj,alt int without subj,alt int with subj,concealed question,intransitive use
Mandarin Chinese,cmn001,承认,chengren,accept,assessment,typically veridical,neither,neither,neither,neither,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,0,0
Mandarin Chinese,cmn001,否认,fouren,deny,assessment,neither,neither,neither,typically projective,typically projective,non-neg-raising,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,1,non-gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,undecided?,undecided?,0,0,0,0
Mandarin Chinese,cmn001,希望,xiwang,hope,bouletic,neither,neither,neither,neither,neither,always neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,祈祷,qidao,pray,bouletic,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,typically,compatible,compatible,1,undecided,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,1
Mandarin Chinese,cmn001,更想,gengxiang,prefer,bouletic,neither,neither,neither,N/A,neither,N/A,non-neg-raising,compatible,compatible,compatible,incompatible,compatible,compatible,always,incompatible,incompatible,1,complex predicate,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,想(要),xiang(yao),want ,bouletic,neither,neither,neither,neither,neither,always neg-raising,typically neg-raising,compatible,compatible,compatible,incompatible,compatible,typically,always,incompatible,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,担心,danxin,be worried,bouletic: negative,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,gradable,always ignorance-implying,gradable,non-veridical,typically distributive,always-distributive,1,1,1,1,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,怕,pa,fear,bouletic: negative,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,1 (restricted),1 (restricted),0,0,0,0
Mandarin Chinese,cmn001,宣布,xuanbu,announce,communication,neither,neither,neither,typically projective,neither,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,N/A,N/A,argue,communication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mandarin Chinese,cmn001,坚称,jiancheng,assert,communication,neither,neither,neither,neither,neither,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,undecided,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,声称,shengcheng,claim,communication,typically anti-veridical,neither,neither,neither,neither,non-neg-raising,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,0,non-gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,抱怨,baoyuan,complain,communication,typically veridical,neither,neither,typically projective,typically projective,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,typically,compatible,1,gradable,N/A,N/A,N/A,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,0
Mandarin Chinese,cmn001,解释,jieshi,explain,communication,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,0,shuo required,1,1,1,1,1,1,1,1,0,0
Mandarin Chinese,cmn001,告知,gaozhi,inform,communication,neither,neither,neither,typically projective,typically projective,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,告诉,gaosu,tell ,communication,neither,neither,neither,typically projective,neither,non-neg-raising,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,小声地说,xiaoshengdeshuo,whisper,communication: manner of saying,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,compatible,0,complex predicate,typically belief-implying,complex predicate,typically veridical,always distributive,always-distributive,1,1,1,1,1,1,1,1,1,1,1,0
Mandarin Chinese,cmn001,大喊,dahan,shout,communication: manner of saying,neither,neither,neither,N/A,neither,N/A,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,compatible,0,non-gradable,typically belief-implying,non-gradable,typically veridical,always distributive,always-distributive,shuo required,shuo required,1,1,1,1,0,0,0,0,1,1
