consultant_id,predicate,English translation,predicate class,2.veridicality/anti-veridicality wrt declaratives,3.conjoined with negation of the comp,3'.conjoined with the complement,4.Complement projection/reversion through negation,5.neg-raising,6.Likelihood,Unlikelihood,6.Equal likelihood,6'.Certainty,Counter-certainty,6'.Uncertainty,6''.Preference,Opposition,6''.Indiference,7.focus sensitivity wrt decl,8.gradability wrt decl,9.ignorance/belief wrt int,10.gradability wrt int,11.Q-to-P veridicality,12.Q-to-P distributivity ,13.P-to-Q distributivity ,finite indicative declarative clause,1. finite subjunctive declarative clause,2. Finite d-linked constituent interrogative clause:,3. finite non-d-linked constituent interrogative clause,4. finite polar interrogative clause,5. finite alternative interrogative clause,6. Finite non-d-linked constituent interrogative clause with main clause syntax,7. finite polar interrogative clause with main clause syntax,8. non-finite declarative clause without subject,9. non-finite d-linked constituent interrogative without subj,10. non-finite non-d-linked constituent interrogative without subj,11. non-finite polar int without subj,12. non-finite alt int without subj,13. concealed q,Intransitive use
spa1,aceptar,accept,assessment,always veridical,contradictory,redundant*,always projective,non-neg raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,non-gradable,always/typically belief implying,non-gradable,always Q-to-P veridical,Q-to-P distributive,P-to-Q distributive,compatible,compatible,??,?,*,*,?,*,compatible,?,?,*,???,compatible,no
spa1,negar,deny,assessment,typically anti-veridical,neither,neither,neither,non-neg raising,compatible,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,compatible,compatible,*,*,*,*,???,*,?,*,*,*,*,* (not polar),no
spa1,esperar,hope,bouletic,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,non-gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spa1,rogar,pray,bouletic,neither,neither,neither,neither,non-neg raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,?,*,*,*,*,*,no
spa1,preferir,prefer,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spa1,querer,want ,bouletic,neither,neither,neither,neither,neg-raising,compatible,compatible,typically,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,undecided,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,*,*,compatible,*,*,*,*,*,no
spa1,me preocupa (que),be worried,bouletic: negative,typically veridical,neither,neither,typically projective,non-neg raising,typically,compatible,compatible,compatible,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,neutral between belief and ignorance,gradable,"A. Q-to-P anti-veridical/ B. always/typically Q-to-P
 veridical",A. Q-to-P non-distributive / B. Q-to-P distributive,always P-to-Q distributive,*,compatible,?,?,???,???,compatible,*,?,?,compatible,compatible,??,compatible,no
spa1,temer,fear,bouletic: negative,neither,neither,neither,neither,non-neg raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,*,compatible,*,*,*,*,??,*,compatible,*,*,*,*,compatible or ?,no
spa1,anunciar,announce,communication,typically veridical,neither,neither,*ind: typically projective/subj: neither,*non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,focus sensitive,non-gradable,always belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,compatible,compatible,compatible,*,compatible,?,?,*,???,compatible,no
spa1,argumentar,argue,communication,neither,neither,neither*,*ind: typically projective/subj: neither,*non-neg raising,always,incompatible,incompatible,typically,compatible,compatible,typically,compatible,compatible,not focus sensitive,non-gradable,typically belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,compatible,compatible,?,?,?,??,?,compatible,compatible,??,?,compatible,no
spa1,aseverar,assert,communication,typically veridical,neither,redundant*,"*ind: typically projective, subj: neither",*non-neg raising,typically,compatible,compatible,typically,compatible,compatible,compatible,compatible,typically,Not focus sensitive,non-gradable,typically belief implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,compatible,*,??,??,???,???,???,*,?,??,???,???,???,??,no
