consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity  ,gradability wrt decl,belief/ignorance wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause,finite d-linked constituent interrogative clause,finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,non-finite declarative clause without subject,concealed q,content DP,Intransitive use
swe1,acceptera,accept,assessment,typically veridical,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,compatible*,compatible*,compatible*,focus sensitive,gradable*,always belief-implying*,U,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,not having an intransitive use
swe1,förneka,deny,assessment,typically veridical,neither,neither,typically projective,non-neg-raising,compatible,typically,compatible,compatible,typically,compatible,compatible,typically,compatible,focus sensitive,gradable,N/A,non-gradable*,N/A,N/A,N/A,yes,no,no,no,no,no,yes,yes,not having an intransitive use
swe1,hoppas,hope,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,yes*,not having an intransitive use
swe1,be,pray,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,typically,typically,compatible,compatible,focus sensitive,non-gradable*,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,yes,having an intransitive use
swe1,föredra,prefer,bouletic,typically veridical*,typically contradictory,typically redundant,typically projective,non-neg-raising,typically,compatible,compatible,typically,compatible,compatible,always,incompatible,incompatible,focus sensitive,gradable*,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes,yes,yes,not having an intransitive use
swe1,vilja,want ,bouletic,neither,neither,neither,neither,typically neg-raising,compatible,compatible,compatible,compatible,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no,no,no,yes*,no,no,not having an intransitive use
swe1,vara orolig + för,be worried,bouletic: negative,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral,gradable,neither,Q-to-P non-distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,yes,yes,yes,having an intransitive use (without preposition)
swe1,vara orolig + över,be worried,bouletic: negative / emotive factive,always veridical,contradictory,redundant,typically projective,non-neg-raising,always,incompatible,incompatible,always,incompatible,incompatible,incompatible,always,incompatible,focus sensitive,gradable,neutral/typically belief-implying (TAM dependent),gradable,neither/typically Q-to-P veridical (TAM dependent),Q-to-P non-distributive/typically Q-to-P distributive (TAM dependent),P-to-Q non-distributive/typically P-to-Q distributive (TAM dependent),yes,yes,yes,yes,yes,no,yes,yes,having an intransitive use (without preposition)
swe1,frukta,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,typically,compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,yes,no,no*,no,no,yes,yes,yes,not having an intransitive use
swe1,tillkännage,announce,communication,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable,typically belief-implying,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,always P-to-Q distributive,yes,yes,yes,yes,yes,no,yes,yes*,not having an intransitive use
