consultant_id,predicate,English translation,predicate class,veridicality/anti-veridicality wrt declaratives,conjoined with negation of the comp,conjoined with the complement,Complement projection/reversion through negation,neg-raising,Likelihood,Unlikelihood,Equal likelihood,Certainty,Counter-certainty,Uncertainty,Preference,Opposition,Indifference,focus sensitivity,gradability wrt decl,ignorance/belief wrt int,gradability wrt int,Q-to-P veridicality,Q-to-P distributivity ,P-to-Q distributivity ,finite declarative clause,"Finite d-linked constituent interrogative clause:
",finite non-d-linked constituent interrogative clause,finite polar interrogative clause,finite alternative interrogative clause,Finite non-d-linked constituent interrogative clause with main clause syntax,finite polar interrogative clause with main clause syntax,non-finite declarative clause without subject,non-finite d-linked constituent interrogative without subj,non-finite non-d-linked constituent interrogative without subj,non-finite polar int without subj,non-finite alt int without subj,concealed q,Intransitive use
tur1,kabul et,accept,assessment,typically veridical,neither,neither,can be projective,non-neg-raising,typically,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,typically,always Q-to-P distributive,typically P-to-Q distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,ok,*`,*,*,*,ok,no
tur1,inkar et,deny,assessment,neither,neither,neither,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,focus sensitive,non-gradable/undecided,typically belief implying,no/undecided,always Q-to-P veridical,always Q-to-P distributive,P-to-Q non-distributive,ok,ok-ish,ok-ish,ok-ish,ok-ish,*,*,*,*`,*,*,*,ok,no
tur1,um,hope,bouletic,neither,neither,neither,neither,non-neg-raising,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable*,ignorance**,yes/undecided*,neither*,Q-to-P non-distributive,P-to-Q non-distributive,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
tur1,N/A,pray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tur1,dile,wish,bouletic,neither*,neither,slightly odd,neither,neg-raising-like,compatible,compatible,compatible,incompatible,incompatible,always,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
tur1,tercih et,prefer,bouletic,neither,neither,neither,neither,neg-raising-like,compatible,compatible,compatible,compatible,compatible,compatible,always,incompatible,incompatible,focus sensitive,non-gradable/undecided,N/A,N/A,N/A,N/A,N/A,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
tur1,iste,want ,bouletic,typically anti-veridical*,neither,slightly odd,neither,neg-raising,compatible,compatible,compatible,compatible/dispreferred,compatible,typically,always,incompatible,incompatible,focus sensitive,gradable,N/A,N/A,N/A,N/A,N/A,ok,*,*,*,*,*,*,ok,*`,*,*,*,*,no
tur1,endişelen,worry ,bouletic: negative,neither,neither,neither*,can be projective,non-neg-raising,compatible,compatible,compatible,compatible/dispreferred,incompatible,typically,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither*,typically Q-to-P distributive,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,-DIK and perhaps also -mA nomiN/Alizations,only -DIK,diye ok,diye ok,ok,*`,*,?,*,ok,yes
tur1,N/A,be worried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tur1,kork,fear,bouletic: negative,neither,neither,neither,neither,non-neg-raising,"-DIK: typically, -mA: compatible",compatible,compatible,incompatible,incompatible,always,incompatible,always,incompatible,focus sensitive,gradable,neutral*,gradable,neither,typically Q-to-P,always P-to-Q distributive,-mA and -DIK and diye ok,only -DIK,only -DIK,??,only -DIK,diye ok,diye ok,ok,*,*,?,*,ok,yes
tur1,ilan et,announce,communication,neither,neither,slightly odd,can be projective,non-neg-raising,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,compatible,not focus sensitive*,non-gradable,typically belief,non-gradable,typically Q-to-P veridical,always Q-to-P distributive,typically P-to-Q distributive,ok,ok,ok,ok,ok,*diye,*diye,*,*,*,*,*,ok,no
